#data
R,THETA,PHI,abs|E|
100,35,145,4.43579
100,40,145,4.66772
100,45,145,4.86922
100,50,145,5.04415
100,55,145,5.19674
100,60,145,5.33028
100,65,145,5.44652
100,70,145,5.54553
100,75,145,5.62603
100,80,145,5.68593
100,85,145,5.723
100,90,145,5.73556
100,95,145,0
100,100,145,0
100,105,145,0
100,110,145,0
100,115,145,0
100,120,145,0
100,125,145,0
100,130,145,0
100,135,145,0
100,140,145,0
100,145,145,0
100,150,145,0
100,155,145,0
100,160,145,0
100,165,145,0
100,170,145,0
100,175,145,0
100,180,145,0
100,0,15,2.59796
100,5,15,2.66734
100,10,15,2.89373
100,15,15,3.24273
100,20,15,3.66799
100,25,15,4.12463
100,30,15,4.57508
100,35,15,4.99108
100,40,15,5.35444
100,45,15,5.65695
100,50,15,5.89898
100,55,15,6.08705
100,60,15,6.23078
100,65,15,6.33997
100,70,15,6.42265
100,75,15,6.48417
100,80,15,6.52732
100,85,15,6.55313
100,90,15,6.56175
100,95,15,0
100,100,15,0
100,105,15,0
100,110,15,0
100,115,15,0
100,120,15,0
100,125,15,0
100,130,15,0
100,135,15,0
100,140,15,0
100,145,15,0
100,150,15,0
100,155,15,0
100,160,15,0
100,165,15,0
100,170,15,0
100,175,15,0
100,180,15,0
100,0,150,2.59796
100,5,150,2.73698
100,10,150,2.98034
100,15,150,3.28915
100,20,150,3.62722
100,25,150,3.96645
100,30,150,4.28784
100,35,150,4.58088
100,40,150,4.84178
100,45,150,5.07121
100,50,150,5.27197
100,55,150,5.4472
100,60,150,5.59927
100,65,150,5.72942
100,70,150,5.83782
100,75,150,5.92385
100,80,150,5.98647
100,85,150,6.02459
100,90,150,6.0374
100,95,150,0
100,100,150,0
100,105,150,0
100,110,150,0
100,115,150,0
100,120,150,0
100,125,150,0
100,130,150,0
100,135,150,0
100,140,150,0
100,145,150,0
100,150,150,0
100,155,150,0
100,160,150,0
100,165,150,0
100,170,150,0
100,175,150,0
100,180,150,0
100,0,155,2.59796
100,5,155,2.73781
100,10,155,2.99214
100,15,155,3.31883
100,20,155,3.67917
100,25,155,4.04343
100,30,155,4.39156
100,35,155,4.71204
100,40,155,4.99994
100,45,155,5.25457
100,50,155,5.47735
100,55,155,5.67014
100,60,155,5.83451
100,65,155,5.97157
100,70,155,6.08213
100,75,155,6.16696
100,80,155,6.22682
100,85,155,6.26241
100,90,155,6.27421
100,95,155,0
100,100,155,0
100,105,155,0
100,110,155,0
100,115,155,0
100,120,155,0
100,125,155,0
100,130,155,0
100,135,155,0
100,140,155,0
100,145,155,0
100,150,155,0
100,155,155,0
100,160,155,0
100,165,155,0
100,170,155,0
100,175,155,0
100,180,155,0
100,0,160,2.59796
100,5,160,2.73732
100,10,160,3.00012
100,15,160,3.34168
100,20,160,3.72128
100,25,160,4.10788
100,30,160,4.48034
100,35,160,4.82592
100,40,160,5.13816
100,45,160,5.41469
100,50,160,5.65528
100,55,160,5.86059
100,60,160,6.03156
100,65,160,6.16955
100,70,160,6.2765
100,75,160,6.35501
100,80,160,6.40808
100,85,160,6.43855
100,90,160,6.44846
100,95,160,0
100,100,160,0
100,105,160,0
100,110,160,0
100,115,160,0
100,120,160,0
100,125,160,0
100,130,160,0
100,135,160,0
100,140,160,0
100,145,160,0
100,150,160,0
100,155,160,0
100,160,160,0
100,165,160,0
100,170,160,0
100,175,160,0
100,180,160,0
100,0,165,2.59796
100,5,165,2.73539
100,10,165,3.00384
100,15,165,3.35685
100,20,165,3.75226
100,25,165,4.158
100,30,165,4.55186
100,35,165,4.91964
100,40,165,5.25307
100,45,165,5.5479
100,50,165,5.80226
100,55,165,6.01571
100,60,165,6.18891
100,65,165,6.32375
100,70,165,6.42358
100,75,165,6.49301
100,80,165,6.53733
100,85,165,6.56153
100,90,165,6.56917
100,95,165,0
100,100,165,0
100,105,165,0
100,110,165,0
100,115,165,0
100,120,165,0
100,125,165,0
100,130,165,0
100,135,165,0
100,140,165,0
100,145,165,0
100,150,165,0
100,155,165,0
100,160,165,0
100,165,165,0
100,170,165,0
100,175,165,0
100,180,165,0
100,0,170,2.59796
100,5,170,2.73195
100,10,170,3.00296
100,15,170,3.36364
100,20,170,3.77101
100,25,170,4.19225
100,30,170,4.60408
100,35,170,4.99067
100,40,170,5.34182
100,45,170,5.65132
100,50,170,5.91581
100,55,170,6.134
100,60,170,6.3066
100,65,170,6.43632
100,70,170,6.52797
100,75,170,6.58803
100,80,170,6.62381
100,85,170,6.64205
100,90,170,6.64755
100,95,170,0
100,100,170,0
100,105,170,0
100,110,170,0
100,115,170,0
100,120,170,0
100,125,170,0
100,130,170,0
100,135,170,0
100,140,170,0
100,145,170,0
100,150,170,0
100,155,170,0
100,160,170,0
100,165,170,0
100,170,170,0
100,175,170,0
100,180,170,0
100,0,175,2.59796
100,5,175,2.72695
100,10,175,2.99726
100,15,175,3.36154
100,20,175,3.77666
100,25,175,4.20935
100,30,175,4.63525
100,35,175,5.03687
100,40,175,5.40201
100,45,175,5.7226
100,50,175,5.994
100,55,175,6.21447
100,60,175,6.38506
100,65,175,6.50947
100,70,175,6.59388
100,75,175,6.64628
100,80,175,6.67539
100,85,175,6.68913
100,90,175,6.69304
100,95,175,0
100,100,175,0
100,105,175,0
100,110,175,0
100,115,175,0
100,120,175,0
100,125,175,0
100,130,175,0
100,135,175,0
100,140,175,0
100,145,175,0
100,150,175,0
100,155,175,0
100,160,175,0
100,165,175,0
100,170,175,0
100,175,175,0
100,180,175,0
100,0,180,2.59796
100,5,180,2.7204
100,10,180,2.9866
100,15,180,3.3502
100,20,180,3.76858
100,25,180,4.20827
100,30,180,4.64395
100,35,180,5.05645
100,40,180,5.43163
100,45,180,5.75975
100,50,180,6.0352
100,55,180,6.25613
100,60,180,6.42422
100,65,180,6.54425
100,70,180,6.62354
100,75,180,6.67111
